Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3484540,NCD_BMI_18A,COUNTRY,PRY,AMR,Americas,YEAR,1991,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.8 [2.6-7.7],4.78672,2.64501,7.66817,,2024-02-29T16:06:41Z,1991,01-01-1991,31-12-1991
3484593,NCD_BMI_18A,COUNTRY,ERI,AFR,Africa,YEAR,2014,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,34.9 [29.7-39.9],34.85274,29.70523,39.94701,,2024-02-29T16:06:41Z,2014,01-01-2014,31-12-2014
3484767,NCD_BMI_18A,COUNTRY,EST,EUR,Europe,YEAR,2012,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.1 [0.8-1.5],1.11102,0.76581,1.53222,,2024-02-29T16:06:41Z,2012,01-01-2012,31-12-2012
3485638,NCD_BMI_18A,COUNTRY,GNQ,AFR,Africa,YEAR,2016,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.5 [6.2-27.9],15.53147,6.20647,27.90211,,2024-02-29T16:06:41Z,2016,01-01-2016,31-12-2016
3486293,NCD_BMI_18A,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2000,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,19.0 [17.5-20.4],18.95464,17.50319,20.42562,,2024-02-29T16:06:41Z,2000,01-01-2000,31-12-2000
3487021,NCD_BMI_18A,COUNTRY,USA,AMR,Americas,YEAR,1991,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.2 [1.9-2.6],2.24708,1.94974,2.55978,,2024-02-29T16:06:41Z,1991,01-01-1991,31-12-1991
3487395,NCD_BMI_18A,COUNTRY,ITA,EUR,Europe,YEAR,1990,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.3 [1.0-1.7],1.29077,0.96342,1.68866,,2024-02-29T16:06:41Z,1990,01-01-1990,31-12-1990
3488703,NCD_BMI_18A,COUNTRY,MOZ,AFR,Africa,YEAR,2015,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,11.4 [9.2-13.7],11.3543,9.21826,13.65274,,2024-02-29T16:06:41Z,2015,01-01-2015,31-12-2015
3489793,NCD_BMI_18A,COUNTRY,MRT,AFR,Africa,YEAR,2002,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,12.2 [8.7-16.4],12.21686,8.66307,16.40608,,2024-02-29T16:06:41Z,2002,01-01-2002,31-12-2002
3490063,NCD_BMI_18A,COUNTRY,NZL,WPR,Western Pacific,YEAR,2008,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.4 [1.2-1.6],1.40731,1.19422,1.63795,,2024-02-29T16:06:41Z,2008,01-01-2008,31-12-2008
3490438,NCD_BMI_18A,COUNTRY,ESP,EUR,Europe,YEAR,1993,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.3 [1.0-1.8],1.3386,0.99412,1.7643,,2024-02-29T16:06:41Z,1993,01-01-1993,31-12-1993
3490703,NCD_BMI_18A,REGION,SEAR,,,YEAR,2008,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,23.9 [22.9-25.0],23.92102,22.8583,24.95338,,2024-02-29T16:06:41Z,2008,01-01-2008,31-12-2008
3491912,NCD_BMI_18A,COUNTRY,KAZ,EUR,Europe,YEAR,1993,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.7 [4.0-7.7],5.66395,4.02041,7.65522,,2024-02-29T16:06:41Z,1993,01-01-1993,31-12-1993
3492462,NCD_BMI_18A,COUNTRY,ZWE,AFR,Africa,YEAR,2015,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,10.4 [7.7-13.5],10.44243,7.73746,13.49841,,2024-02-29T16:06:41Z,2015,01-01-2015,31-12-2015
